id,source,message,reference,candidate,groundedness,relevance,correctness_safety,tone,completeness,overall_pass
gold_0191,retrieval_only,I’ve tried everything and my rear camera will not work 😡,We want to help you get back to capturing great pictures with your iPhone. What happens when you open the Camera app on your iPhone? Are you able to see the preview and capture photos?,"We'd love to see how we can assist. Take a look at this article, and let us know if this helps: https://t.co/r1DRfaFLIU",5.0,5.0,5.0,5.0,4.0,PASS
gold_0013,canned,"Faulty 3rd Gen Apple Tv, that was under recall. Problem with Wifi, won't connect with witi or ethernet. Phone support doesnt even acknowledge recall or help on the issue at all. Can you help? Serial # C07HXKR1DRHN. Same problem as reacall, https://t.co/DYBRURYoDJ",We’d like to see how we can help. Can you DM us some more details about the issue you're having? https://t.co/GDrqU22YpT,Sorry to hear that. Please send us a DM with more detail and we'll help.,5.0,5.0,5.0,5.0,5.0,PASS
gold_0204,retrieval_only,"Mac wouldn’t wake from sleep today, had to force reboot, now it’s doing this. If this is how emergency security patches are installed, it’s not very friendly. @AppleSupport https://t.co/ylaToAcVxC","We understand how this would be disruptive when you need to use your Mac. Has the update completed? Are you able to use your Mac? https://t.co/GDrqU22YpT || Thank you for letting us know. If you'd like to leave feedback about this, please do so here: https://t.co/eTPVYVFyd8",Thanks for reaching out. Were you able to restart the computer to try the installation again?,5.0,4.0,5.0,5.0,3.0,PASS
gold_0013,agent,"Faulty 3rd Gen Apple Tv, that was under recall. Problem with Wifi, won't connect with witi or ethernet. Phone support doesnt even acknowledge recall or help on the issue at all. Can you help? Serial # C07HXKR1DRHN. Same problem as reacall, https://t.co/DYBRURYoDJ",We’d like to see how we can help. Can you DM us some more details about the issue you're having? https://t.co/GDrqU22YpT,We would like to look into this with you. Please send us a DM so we can better understand the situation and explore your options.,5.0,5.0,5.0,5.0,5.0,PASS
gold_0140,retrieval_only,my iPhone X just dialed 911 by itself when my phone was in the holster on my waist.,"We want to make sure your iPhone X is only using Emergency SOS, when necessary. Here's how to use Emergency SOS on your iPhone X: https://t.co/OqERDeSFxl Is it possible that both the side button and Volume button were being pressed and held in your holster? || If you notice this happen again, while not in the holster, please let us know. We want to make sure you're enjoying your new iPhone X and we're happy to do everything we can to help.","We'd love to help. Which software version are you using? Also, is your iPhone X restarting while using a particular app?",3.0,2.0,5.0,5.0,2.0,FAIL
gold_0210,canned,"Señores @AppleSupport el nuevo #iOS me tiene el celular completamente lento: no puedo tener dos apps abiertas porque inmediatamente la pantalla se congela, para cuando actualización?",We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,Sorry to hear that. Please send us a DM with more detail and we'll help.,5.0,3.0,5.0,5.0,2.0,FAIL
gold_0202,retrieval_only,"Seriously what the fuck, why am I forbidden to use WiFi & Bluetooth @AppleSupport https://t.co/Fw6o9ei2Rv",Thanks for reaching out! We've received your DM messages and will respond from there to help sort this out.,Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,4.0,5.0,5.0,5.0,4.0,PASS
gold_0154,agent,Do you know will a fix come out to fix the issue with the static when playing music through blue tooth? I see you’ve been a discussion on the discussion board but no update in this is been going on since the iPhone 7,We'd like to find out more about what you're noticing. Which iOS version are we working with on your iPhone? You can find that in Settings > General > About. Our latest is iOS 11.1.2.,"We'd like to look into this with you. Does this static occur when playing audio through your iPhone's speakers, or only when connected via Bluetooth? Please send us a DM so we can investigate further.",5.0,5.0,5.0,5.0,4.0,PASS
gold_0131,agent,a bad video of @82067 playing The Beers @ the house of blues last Wednesday. This was my favorite song in 2012 and it was surreal hearing it live (again) https://t.co/lZumd8d9JQ,"We'd be happy to look into this with you! To start, let us know what device we're working with via DM and we'll go from there: https://t.co/GDrqU22YpT",We'd like to help look into this. Could you let us know which iPhone model and iOS version you are using? Please DM us with those details so we can assist further. https://t.co/GDrqU22YpT,3.0,2.0,3.0,5.0,2.0,FAIL
gold_0177,retrieval_only,is it safe now to update the ios to 11.1.2 ?,"Yes, you can definitely update to iOS 11.1.2. Check out our article for more info on how to backup and update your device: https://t.co/80YRnjDFDk","We do recommend keeping your device up to date. If you have any questions or concerns when updating, DM us and we'll help out. https://t.co/GDrqU22YpT",5.0,4.0,5.0,5.0,3.0,FAIL
